"","Movie Title","iMDB Score","Rotten Tomatoes Score","MetaCritic Score","Available Streams"
"91","Toy Story","8.3/10","100%","95/100","iTunes, Amazon Instant"
"92","Taxi Driver","8.3/10","98%","94/100","Amazon Instant"
"93","Singin' in the Rain","8.3/10","100%","99/100","iTunes, Amazon Instant"
"94","Inglourious Basterds","8.3/10","88%","69/100","iTunes"
"95","Full Metal Jacket","8.3/10","93%","76/100","iTunes"
"96","To Kill a Mockingbird","8.3/10","91%","87/100","iTunes, Amazon Instant"
"97","Bicycle Thieves","8.3/10","98%",NA,"N/A"
"98","The Kid","8.3/10","100%",NA,"iTunes"
"99","The Sting","8.3/10","93%","80/100","iTunes"
"100","Toy Story 3","8.3/10","98%","92/100","iTunes, Amazon Instant"
